Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs,EOQ,std_dev_demand,Lead times,Safety Stock,Total Order Quantity,Forecasted Demand
haircare,SKU0,69.80800554,55,802,8661.996792,Non-binary,58,96,4,Carrier B,2.956572139,Supplier 3,Mumbai,29,215,29,46.27987924,Pending,0.226410361,Road,Route B,187.7520755,200.24984394500785,,7.0,0,200.24984394500785,"[802, 802, 802, 802, 802, 802, 802, 802, 802, 802, 802, 802]"
skincare,SKU1,14.84352328,95,736,7460.900065,Female,53,37,2,Carrier A,9.716574771,Supplier 3,Mumbai,23,517,30,33.61676895,Pending,4.854068026,Road,Route B,503.0655791,191.83326093250878,0.0,30.0,0,191.83326093250878,"[736, 736, 736, 736, 736, 736, 736, 736, 736, 736, 736, 736]"
haircare,SKU2,11.31968329,34,8,9577.749626,Unknown,1,88,2,Carrier B,8.054479262,Supplier 1,Mumbai,12,971,27,30.68801935,Pending,4.580592619,Air,Route C,141.9202818,20.0,0.0,10.0,0,20.0,"[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]"
skincare,SKU3,61.16334302,68,83,7766.836426,Non-binary,23,59,6,Carrier C,1.729568564,Supplier 5,Kolkata,24,937,18,35.6247414,Fail,4.746648621,Rail,Route A,254.7761592,64.42049363362563,0.0,13.0,0,64.42049363362563,"[83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83, 83]"
skincare,SKU4,4.805496036,26,871,2686.505152,Non-binary,5,56,8,Carrier A,3.890547916,Supplier 1,Delhi,5,414,3,92.0651606,Fail,3.145579523,Air,Route A,923.4406317,208.68636754709206,,3.0,0,208.68636754709206,"[871, 871, 871, 871, 871, 871, 871, 871, 871, 871, 871, 871]"
haircare,SKU5,1.699976014,87,147,2828.348746,Non-binary,90,66,3,Carrier B,4.444098864,Supplier 4,Bangalore,10,104,17,56.76647556,Fail,2.779193512,Road,Route A,235.4612367,85.73214099741124,0.0,27.0,0,85.73214099741124,"[147, 147, 147, 147, 147, 147, 147, 147, 147, 147, 147, 147]"
skincare,SKU6,4.078332863,48,65,7823.47656,Male,11,58,8,Carrier C,3.880763303,Supplier 3,Kolkata,14,314,24,1.08506857,Pending,1.000910619,Sea,Route A,134.3690969,57.0087712549569,0.0,15.0,0,57.0087712549569,"[65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65, 65]"
cosmetics,SKU7,42.95838438,59,426,8496.103813,Female,93,11,1,Carrier B,2.348338784,Supplier 4,Bangalore,22,564,1,99.4661086,Fail,0.398177187,Road,Route C,802.0563118,145.94519519326425,0.0,17.0,0,145.94519519326425,"[426, 426, 426, 426, 426, 426, 426, 426, 426, 426, 426, 426]"
cosmetics,SKU8,68.71759675,78,150,7517.363211,Female,5,15,7,Carrier C,3.404733857,Supplier 4,Mumbai,13,769,8,11.42302714,Pending,2.709862691,Sea,Route B,505.5571342,86.60254037844386,0.0,10.0,0,86.60254037844386,"[150, 150, 150, 150, 150, 150, 150, 150, 150, 150, 150, 150]"
skincare,SKU9,64.01573294,35,980,4971.145988,Unknown,14,83,1,Carrier A,7.166645291,Supplier 2,Chennai,29,963,23,47.95760163,Pending,3.844614479,Rail,Route B,995.9294615,221.35943621178654,0.0,27.0,0,221.35943621178654,"[980, 980, 980, 980, 980, 980, 980, 980, 980, 980, 980, 980]"
skincare,SKU10,15.70779568,11,996,2330.965802,Non-binary,51,80,2,Carrier C,8.673211211,Supplier 5,Kolkata,18,830,5,96.52735279,Pass,1.727313928,Road,Route B,806.1031777,223.15913604421397,,13.0,0,223.15913604421397,"[996, 996, 996, 996, 996, 996, 996, 996, 996, 996, 996, 996]"
skincare,SKU11,90.63545998,95,960,6099.944116,Female,46,60,1,Carrier A,4.523943124,Supplier 2,Kolkata,28,362,11,27.59236309,Pending,0.021169821,Air,Route A,126.7230334,219.08902300206645,0.0,23.0,0,219.08902300206645,"[960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960, 960]"
haircare,SKU12,71.21338908,41,336,2873.741446,Unknown,100,85,4,Carrier A,1.32527401,Supplier 4,Kolkata,3,563,3,32.32128621,Fail,2.161253748,Road,Route B,402.9687891,129.6148139681572,,30.0,0,129.6148139681572,"[336, 336, 336, 336, 336, 336, 336, 336, 336, 336, 336, 336]"
skincare,SKU13,16.16039332,5,249,4052.738416,Male,80,48,9,Carrier A,9.537283061,Supplier 5,Bangalore,23,173,10,97.82905011,Pending,1.63107423,Road,Route B,547.2410052,111.57956802210698,0.0,8.0,0,111.57956802210698,"[249, 249, 249, 249, 249, 249, 249, 249, 249, 249, 249, 249]"
skincare,SKU14,99.17132864,26,562,8653.570926,Non-binary,54,78,5,Carrier B,2.039770189,Supplier 1,Kolkata,25,558,14,5.79143663,Pending,0.100682852,Air,Route B,929.23529,167.6305461424021,0.0,29.0,0,167.6305461424021,"[562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562, 562]"
skincare,SKU15,36.98924493,94,469,5442.086785,Non-binary,9,69,7,Carrier B,2.422039723,Supplier 1,Bangalore,14,580,7,97.12128175,Pass,2.264405761,Sea,Route B,127.8618,153.13392831113555,0.0,8.0,0,153.13392831113555,"[469, 469, 469, 469, 469, 469, 469, 469, 469, 469, 469, 469]"
skincare,SKU16,7.54717211,74,280,6453.797968,Female,2,78,1,Carrier B,4.191324586,Supplier 1,Bangalore,3,399,21,77.1063425,Pass,1.012563089,Air,Route A,865.5257798,118.32159566199232,0.0,5.0,0,118.32159566199232,"[280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280, 280]"
cosmetics,SKU17,81.46253437,82,126,2629.396435,Female,45,85,9,Carrier C,3.585418958,Supplier 1,Chennai,7,453,16,47.67968037,Fail,0.102020755,Air,Route C,670.9343908,79.37253933193772,0.0,17.0,0,79.37253933193772,"[126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126, 126]"
haircare,SKU18,36.44362777,23,620,9364.673505,Unknown,10,46,8,Carrier C,4.339224714,Supplier 2,Kolkata,18,374,17,27.10798085,Pending,2.231939111,Sea,Route A,593.4802587,176.0681686165901,,10.0,0,176.0681686165901,"[620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620, 620]"
